amount,transaction_hour,merchant_category,transaction_type,location,transactions_last_24h,avg_transaction_amount,international,distance_from_home_km,is_fraud
258.77,10,Utilities,Online,Kolkata,0.0,507.63,No,285.31,Medium
810.85,9,Electronics,Contactless,Hyderabad,3.0,361.9,No,53.45,High
544.08,14,Grocery,Online,Delhi,0.0,2296.58,No,16.69,Low
1315.64,8,Fuel,Online,Bengaluru,2.0,2366.06,No,1.09,Medium
2263.31,14,Grocery,POS,Vijayawada,30.0,2175.34,No,3.68,High
147.22,8,Food,Online,Coimbatore,1.0,431.82,No,12.61,Low
1529.32,20,Travel,ATM,Mumbai,3.0,744.98,No,2.78,Low
829.05,20,Grocery,POS,Vijayawada,1.0,1281.02,No,10.18,Low
3423.44,7,Grocery,ATM,Jaipur,1.0,9635.16,Yes,5074.68,Medium
420.44,13,Grocery,POS,Delhi,2.0,1670.83,No,10.31,Low
909.28,18,Grocery,Online,Kochi,4.0,1162.49,No,11.44,Low
16301.25,11,Travel,POS,Coimbatore,2.0,5556.53,No,5.68,Medium
523.72,0,Restaurants,Contactless,Hyderabad,1.0,1340.11,No,39.38,Low
148.22,20,Food,POS,Hyderabad,5.0,280.73,No,6.4,Medium
2230.33,14,Fuel,Contactless,Vijayawada,3.0,2690.05,No,7.85,Medium
2085.55,19,Education,POS,Delhi,3.0,1274.88,No,16.29,Low
1446.92,9,Education,POS,Ahmedabad,2.0,701.43,No,22.12,Medium
995.78,9,Utilities,Online,Kolkata,1.0,592.73,No,11.02,Medium
866.7,10,Healthcare,POS,Chennai,2.0,486.22,No,0.68,Low
527.29,8,Fuel,Online,Mumbai,2.0,856.5,No,11.31,Low
5783.26,8,Online Marketplace,POS,Bengaluru,1.0,4143.55,No,2.47,Low
837.67,20,Healthcare,Online,Kolkata,5.0,691.76,No,15.36,Low
1847.44,10,Online Marketplace,Online,Hyderabad,1.0,2740.7,No,0.96,Low
996.87,22,Food,ATM,Bengaluru,3.0,905.11,No,1.09,Low
1725.04,22,Shopping,Online,Ahmedabad,3.0,1782.91,Yes,5054.29,Medium
1044.55,17,Healthcare,POS,Bengaluru,0.0,903.82,No,5.55,Low
1700.69,8,Grocery,Contactless,Bengaluru,3.0,2089.5,No,23.53,Low
4407.2,14,Shopping,POS,Ahmedabad,6.0,2960.36,No,12.6,Medium
902.91,12,Healthcare,Online,Mumbai,6.0,914.8,No,27.03,Medium
1269.24,21,Shopping,Online,Bengaluru,4.0,1440.12,No,19.06,Medium
1424.2,0,Online Marketplace,Online,Delhi,1.0,710.37,No,9.53,Medium
826.61,19,Pharmacy,POS,Nagpur,1.0,1096.46,No,9.6,Medium
542.22,0,Restaurants,POS,Vijayawada,3.0,779.91,No,47.34,Medium
1859.49,12,Food,POS,Chennai,2.0,2665.67,No,4.14,Low
925.47,11,Electronics,POS,Jaipur,1.0,180.11,No,11.34,Low
636.59,10,Entertainment,Contactless,Mumbai,2.0,1591.26,No,4.42,Medium
1641.72,17,Online Marketplace,Contactless,Mumbai,2.0,1037.44,No,4.67,Medium
275.8,20,Fuel,POS,Mumbai,4.0,755.1,No,6.9,Low
273.73,16,Pharmacy,Online,Hyderabad,21.0,460.46,No,0.87,High
79.19,18,Grocery,Online,Bengaluru,1.0,417.33,No,0.87,Low
1741.37,21,Shopping,Online,Bengaluru,2.0,1177.08,No,19.4,Low
3259.04,19,Shopping,POS,Jaipur,0.0,5033.91,No,1.54,Low
2087.12,22,Restaurants,Online,Kochi,1.0,3123.69,No,3.48,Low
670.49,8,Utilities,Online,Delhi,1.0,1227.0,No,11.61,Low
782.31,15,Online Marketplace,ATM,Chennai,3.0,535.04,No,15.2,Medium
1294.24,19,Shopping,Contactless,Jaipur,3.0,1232.48,No,3.72,Low
1153.53,18,Utilities,POS,Pune,2.0,871.48,No,34.05,Low
6900.26,14,Food,POS,Indore,6.0,8927.25,No,15.24,Medium
478.05,10,Shopping,Online,Hyderabad,1.0,464.56,No,0.85,Low
431.44,18,Restaurants,POS,Guwahati,2.0,1159.14,No,3.52,Low
1357.25,1,Utilities,POS,Bengaluru,3.0,1937.63,No,9.7,Low
671.75,16,Shopping,POS,Ahmedabad,3.0,899.19,No,19.16,Medium
990.19,19,Grocery,POS,Mumbai,1.0,1613.28,No,1.59,Low
624.16,6,Utilities,Contactless,Kolkata,2.0,950.48,No,31.16,Low
337.67,12,Grocery,Contactless,Pune,4.0,906.7,No,173.01,Low
